segid,segstart,segend,verbatim,intended
24fa_047,225.13,229.51,um for most of my life i would just not say anything,for most of my life i would just not say anything
24fa_048,229.51,237.47,or avoid ce certain words 'cause i didn't wa want to stutter o on them,or avoid certain words 'cause i didn't want to stutter on them
24fa_049,238.34,241.58,so i guess that's it re really,so i guess that's it really
24fa_050,241.58,244.28,just saying what i wanna say,just saying what i wanna say
24fa_051,244.3,247.61,and now after going to the american institute for stuttering,and now after going to the american institute for stuttering
24fa_052,248.29,257.05,successful communication for me would be to openly stutter and saying everything that i i i would like to say,successful communication for me would be to openly stutter and saying everything that i would like to say
24fa_053,258.0,260.64,oh and then an experience uh,oh and then an experience
24fa_054,261.91,262.22,i don't know,i don't know
24fa_055,263.37,268.99,um i actually was at the mall last week,i actually was at the mall last week
24fa_056,269.0,270.81,se surveying people,surveying people
24fa_057,271.55,275.01,um asking them questions about st st stuttering,asking them questions about stuttering
24fa_058,275.57,279.79,and i was talking to one guy who kept finishing my sentences for me,and i was talking to one guy who kept finishing my sentences for me
24fa_059,280.31,286.57,but even though he did that i like finished my sentence while he was finishing mine,but even though he did that i like finished my sentence while he was finishing mine
24fa_060,286.58,293.55,so i guess that was pretty successful 'cause i didn't let him stop me from stuttering my way through like till the end of the sentence,so i guess that was pretty successful 'cause i didn't let him stop me from stuttering my way through like till the end of the sentence
24fa_061,300.97,301.8,so many things,so many things
24fa_062,301.86,305.0,um i don't know,i don't know
24fa_063,305.0,306.75,that's hard to say,that's hard to say
24fa_064,306.86,313.95,i feel like after going to the american institute for stuttering i have a different outlook as opposed to when i was covert,i feel like after going to the american institute for stuttering i have a different outlook as opposed to when i was covert
24fa_065,314.54,318.08,um so i don't really really know how to answer th these questions,so i don't really know how to answer these questions
24fa_066,318.09,321.08,'cause i feel like it's two different kind of lifestyles,'cause i feel like it's two different kind of lifestyles
24fa_067,321.09,330.88,but before a ais i would have said that um i could probably get like a better job,but before ais i would have said that i could probably get like a better job
24fa_068,331.36,333.17,um like be a lawyer,like be a lawyer
24fa_069,333.17,336.6,or i don't know,or i don't know
24fa_070,336.98,340.79,doctor or a teacher 'cause i'd have to talk a a lot,doctor or a teacher 'cause i'd have to talk a lot
24fa_071,340.9,345.94,um or i could like have more friends,or i could like have more friends
24fa_072,345.97,348.41,or be more outgoing and all these things,or be more outgoing and all these things
24fa_073,348.46,354.52,um but now i feel like i can do all these things e e even though i stutter,but now i feel like i can do all these things even though i stutter
24fa_074,354.52,364.96,and it kind of gives me more motivation 'cause i know people there are people who think that someone who stutters like can't do ce ce certain things,and it kind of gives me more motivation 'cause there are people who think that someone who stutters like can't do certain things
24fa_075,364.97,368.05,so now i'm in like a better mindset i guess to prove people wrong,so now i'm in like a better mindset i guess to prove people wrong
24fa_076,379.0,387.17,um hm i would say to definitely check out like the national stuttering a association,hm i would say to definitely check out like the national stuttering association
24fa_077,387.19,391.38,and friends the organization for kids and teens who stutter,and friends the organization for kids and teens who stutter
24fa_078,391.88,400.85,and just any um like support group that empowers like kids and teens and a adults who who stutter,and just any like support group that empowers like kids and teens and adults who stutter
24fa_079,400.85,407.53,and just make sure that people know that like stuttering doesn't have to hold them back,and just make sure that people know that like stuttering doesn't have to hold them back
24fa_080,407.53,409.08,and like it's okay to stutter,and like it's okay to stutter
24fa_081,409.08,411.82,it's not something that necessarily needs to be fixed,it's not something that necessarily needs to be fixed
24fa_082,412.42,415.66,and i don't think the think the goal should be fluency,and i don't think the goal should be fluency
24fa_083,415.66,416.7,i think it should just be,i think it should just be
24fa_084,416.76,419.55,i mean i guess it depends on what the client wants,i mean i guess it depends on what the client wants
24fa_085,419.89,423.97,but like when i was in speech therapy i didn't really have a choice,but like when i was in speech therapy i didn't really have a choice
24fa_086,423.98,427.45,like i was told that stuttering is bad and i shouldn't stutter,like i was told that stuttering is bad and i shouldn't stutter
24fa_087,427.79,430.02,i need to speak f fluently,i need to speak fluently
24fa_088,430.02,436.71,and it just gave i just put so much pressure o on me to speak like everybody else,and i just put so much pressure on me to speak like everybody else
24fa_089,436.83,441.98,and looking back on it that was not the best therapy that i needed,and looking back on it that was not the best therapy that i needed
24fa_090,442.72,451.72,so i would just try to empower you your clients to be successful communicators,so i would just try to empower your clients to be successful communicators
24fa_091,452.28,455.67,however they would like that to be,however they would like that to be
24fa_092,456.04,457.06,that sentence didn't make sense,that sentence didn't make sense
24fb_000,29.24,34.83,um in my daily life it doesn't have a have a an impact on me,in my daily life it doesn't have an impact on me
24fb_001,35.42,42.62,um because i i i don't a allow it to have an impact on on me um,because i don't allow it to have an impact on me
24fb_002,44.09,59.23,uh i think it's worse in my job uh where i talk to customers um and and they don't they don't don't know that i stutter and i have to be you know very professional,i think it's worse in my job where i talk to customers and they don't know that i stutter and i have to be you know very professional
24fb_003,60.08,79.27,i work in a in a shop so i have to um be professional and not s stutter that that much um but in my dai in my daily life with friends and family so so it it doesn't really have an impact on on me i think um,i work in a shop so i have to be professional and not stutter that much but in my daily life with friends and family so it doesn't really have an impact on me i think
24fb_004,80.38,85.99,because e e everyone knows that i stutter and it's just part of me and it's the way i talk,because everyone knows that i stutter and it's just part of me and it's the way i talk
24fb_005,87.05,88.97,i guess yeah,i guess yeah
24fb_006,98.03,110.85,um i don't know but i think it's you know it's uh in in my family it's a family thing it's it's in my uh in my dad's part of the f family,i don't know but i think you know it's a family thing it's in my dad's part of the family
24fb_007,110.85,123.35,so it's a bio biological thing i guess but otherwise uh otherwise i i i don't know i mean there are so many um,so it's a biological thing i guess but otherwise i don't know i mean there are so many
24fb_008,124.84,137.81,a lot of the people think that it's i it's some kind of a trauma or something like that but i'm not sure but i i think it's it's in the genes and yeah,a lot of the people think that it's some kind of a trauma or something like that but i'm not sure but i think it's in the genes and yeah
24fb_009,154.97,162.88,i went to my first uh speech therapist when i was four five years old,i went to my first speech therapist when i was five years old
24fb_010,163.85,173.58,and it was a a a group of uh children and it it was about how how to accept your stuttering and not to cure it,and it was a group of children and it was about how to accept your stuttering and not to cure it
24fb_011,174.24,194.23,and it was about meeting other children who stutter and um and i think the most important thing was t to to accept it and and learn how to live with with with it and learn how how to deal with it and and learn that that th that there's no cure,and it was about meeting other children who stutter and i think the most important thing was to accept it and learn how to live with it and learn how to deal with it and learn that there's no cure
24fb_012,195.53,203.51,um and i i went to that group for a lot of y years um,and i went to that group for a lot of years
24fb_013,204.3,209.19,i ended when i was it it ended when when i was seventeen,it ended when i was seventeen
24fb_014,210.34,216.77,so it was most of my childhood i i went to to that group um,so it was most of my childhood i went to that group
24fb_015,217.4,231.9,and in and in at the end i didn't go because i learned a a anything because i i i went for the social part it it was nice the being the being there and yeah,and at the end i didn't go because i learned anything because i went for the social part it was nice being there and yeah
24fb_016,262.44,265.52,um well uh that's that's a difficult question,well that's a difficult question
24fb_017,265.68,274.96,um positive communication i don't um,positive communication i don't
24fb_018,279.63,292.24,i i don't think that that it's um it's a question wh whether you you stutter or not and p positive communication if it makes sense um,i don't think that it's a question whether you stutter or not and positive communication if it makes sense
24fb_019,297.84,308.85,um i don't think that stuttering has anything to do with p a positive comm communication i mean it's um that's a difficult question,i don't think that stuttering has anything to do with a positive communication i mean that's a difficult question
24fb_020,327.0,344.21,it's it's i mean it's it's just you know if i well it's a bit technical but if i send a message and the receiver understands the message i mean that's c comm c communication right,i mean it's just you know it's a bit technical but if i send a message and the receiver understands the message i mean that's communication right
24fb_021,344.24,350.92,and um i don't know what to answer to that question,and i don't know what to answer to that question
24fb_022,352.51,367.04,i'm not sure that um successful communication and s s stuttering have anything to to do with e with each other,i'm not sure that successful communication and stuttering have anything to do with each other
24fb_023,363.64,363.9,yeah,yeah
24fb_024,374.74,396.35,um um well i i'm i'm i'm about to say you know here at this meeting but that's a bit it's not really a good answer,well i'm about to say you know here at this meeting but that's a it's not really a good answer
24fb_025,396.78,403.04,um but i think that's the best answer i can give um yeah,but i think that's the best answer i can give yeah
24fb_026,403.7,409.98,but but i don't know,but i don't know
24fb_027,418.86,422.23,oh a lot of things would be different um,oh a lot of things would be different
24fb_028,423.55,433.4,a lot of things i i have i have traveled a lot because of my stuttering,a lot of things i have traveled a lot because of my stuttering
24fb_029,433.76,437.48,and i have met a lot of people because of my s stuttering,and i have met a lot of people because of my stuttering
24fb_030,438.1,451.34,and i wouldn't live the life i'm li living now it's um um it would be really different it's um,and i wouldn't live the life i'm living now it would be really different it's
24fb_031,452.89,468.79,i don't know what it w how it would look look like but um i'm not sure i i would i'm not sure i would study what i'm studying now because i um,i don't know how it would look like but i'm not sure i would study what i'm studying now
24fb_032,469.21,476.45,and i wouldn't know the friends i know and a lot of things would would be different,and i wouldn't know the friends i know and a lot of things would be different
24fb_033,477.19,478.18,yeah a lot,yeah a lot
24fb_034,503.4,508.48,i think the most im important is to meet other people who stutter,i think the most important is to meet other people who stutter
24fb_035,508.48,516.05,and uh no m no matter if you're a student or whatever um,and no matter if you're a student or whatever
24fb_036,518.18,531.13,and and tell for example uh tell your teacher and your colleagues and your uh the uh the people around you around you that you stutter,for example tell your teacher and your colleagues and the people around you that you stutter
24fb_037,532.0,538.54,so so they know w w w what it is and that they they they don't think that you're weird or anything,so they know what it is and that they don't think that you're weird or anything
24fb_038,538.6,544.09,um i'm not sure i answered the question but uh um,i'm not sure i answered the question but
24fb_039,545.16,555.0,tell p people that you stutter and and meet other people who stutter i think that's the most important thing so you don't you don't feel alone,tell people that you stutter and meet other people who stutter i think that's the most important thing so you don't feel alone
24fb_040,564.42,575.36,um they should just accept it they should not finish what uh what i'm about to say they should um,they should just accept it they should not finish what i'm about to say they should
24fb_041,576.34,579.56,just behave like it's a normal thing um,just behave like it's a normal thing
24fb_042,581.17,586.29,yeah and of course if they want to ask q questions they they can do,yeah and of course if they want to ask questions they can do
24fb_043,588.78,595.27,just accept it and behave like it's nothing special mhm,just accept it and behave like it's nothing special mhm
24fc_000,14.69,19.56,um i will say that it has impac impacted my life,i will say that it has impacted my life
24fc_001,20.03,25.46,um i when i was like younger in school,when i was like younger in school
24fc_002,25.5,33.19,i will hate to do like the oral oral pre pre pre presentation,i will hate to do like the oral presentation
24fc_003,33.48,41.5,and i will uh e e e e even ask my um my my t my teacher,and i will even ask my teacher
24fc_004,41.6,47.34,to like e either to to not do do do them,like either to not do them
24fc_005,47.38,50.2,or to do it like in front of him only,or to do it like in front of him only
24fc_006,50.21,50.68,or her,or her
24fc_007,50.72,51.14,only,only
24fc_008,51.46,54.25,instead of in front of everybody else,instead of in front of everybody else
24fc_009,54.86,59.42,um it di didn't impact me for like my like friendship,it didn't impact me for like my like friendship
24fc_010,59.52,61.14,my friend just don't care,my friend just don't care
24fc_011,61.62,64.04,they are s they are so sweet,they are so sweet
24fc_012,64.4,66.82,um my family member too,my family member too
24fc_013,67.3,69.88,uh they just wanna like help me,they just wanna like help me
24fc_014,70.22,73.14,and i know it's been hard for them,and i know it's been hard for them
24fc_015,73.17,74.96,it was all like new things,it was all like new things
24fc_016,74.96,80.37,that they didn't know how to what to what what what to do,that they didn't know what to do
24fc_017,80.37,83.56,or like how how they could like help me,or like how they could like help me
24fc_018,83.92,89.43,but we all we get all through through through through it,but we get all through it
24fc_019,89.5,93.44,and um as part of my like job,and as part of my like job
24fc_020,93.9,97.57,um i recently h uh got a job,i recently got a job
24fc_021,98.02,101.42,and i passed one inter interview,and i passed one interview
24fc_022,101.43,103.43,and i got i i got it,and i got it
24fc_023,103.43,103.83,so,so
24fc_024,104.19,107.25,i wouldn't say it has impact impacted me um,i wouldn't say it has impacted me
24fc_025,107.3,112.86,i'm pretty con con con con con confident,i'm pretty confident
24fc_026,112.86,113.29,so,so
24fc_027,113.57,115.5,i think it just like pass through it,i think it just like pass through it
24fc_028,115.52,116.95,and they just okay fine,and they just okay fine
24fc_029,116.96,121.79,like it's all it's all all all okay,like it's all okay
24fc_030,121.8,122.01,so,so
24fc_031,132.0,133.23,um yes i did,yes i did
24fc_032,133.28,135.89,when i was young younger,when i was younger
24fc_033,135.89,141.97,so like for uh like when i was like six to when i was like eighteen,so like for like when i was like six to when i was like eighteen
24fc_034,142.1,146.85,i had the th the th th therapy,i had therapy
24fc_035,147.21,148.05,on and off,on and off
24fc_036,148.17,148.6,some,some
24fc_037,148.68,149.57,i will go,i will go
24fc_038,149.57,150.67,then i will just stop,then i will just stop
24fc_039,150.68,154.22,'cause it wasn't helping me really really much,'cause it wasn't helping me really much
24fc_040,154.52,157.68,um i am a fa fast talker,i am a fast talker
24fc_041,158.12,162.14,so people will always had me to go like slow down,so people will always had me to go like slow down
24fc_042,162.45,163.64,and i would hate that,and i would hate that
24fc_043,163.95,165.69,i cannot slow down,i cannot slow down
24fc_044,165.76,167.57,i am not able to,am not able to
24fc_045,167.98,171.87,so i would just hate to like talk really slow,so i would just hate to like talk really slow
24fc_046,172.15,176.21,and trying to put that in my real life afterward,and trying to put that in my real life afterward
24fc_047,176.61,178.12,and it would just feel weird,and it would just feel weird
24fc_048,178.88,181.8,um so i did therapy,so i did therapy
24fc_049,181.88,187.31,i did not appreciate it r really much,i did not appreciate it really much
24fc_050,187.37,197.0,what has helped me is to meet o other people who is who is who s who stutter,what has helped me is to meet other people who stutter
24fc_051,197.52,199.16,uh to talk with them,to talk with them
24fc_052,199.16,202.39,see how how how they live with it,see how they live with it
24fc_053,202.99,206.35,and that that's what helped me the most,and that's what helped me the most
24fc_054,206.35,211.36,to gain my confidence like confidence back so yeah,to gain my like confidence back so yeah
24fc_055,223.78,231.96,i would say would just be that if two people can under under understand each each each other,i would say would just be that if two people can understand each other
24fc_056,232.51,234.15,that is the main point,that is the main point
24fc_057,234.26,234.92,for me,for me
24fc_058,234.97,239.47,to have like a good conver con conver conversation,to have like a good conversation
24fc_059,240.02,241.91,um also it would just,also it would just
24fc_060,242.74,250.44,i i don't think that the f fl fluency like has like a role to play in that,i don't think that the fluency like has like a role to play in that
24fc_061,251.91,256.12,it it it would help of course it's e easy,it would help of course
24fc_062,256.19,263.33,it's easy easy easier for the for the people to like un un un understand us,it's easier for the people to like understand us
24fc_063,263.36,265.76,if we if we don't block,if we don't block
24fc_064,266.16,271.97,but i think that uh if the if i can say what i have to say,but i think that if i can say what i have to say
24fc_065,272.19,275.03,and that i i don't like switch word,and that i don't like switch word
24fc_066,275.05,281.46,or stop stop b b before i finish what i wanna say,or stop before i finish what i wanna say
24fc_067,281.5,286.29,that is a good con good conver conversation,that is a good conversation
24fc_068,293.56,299.01,i did i did think uh if my job will be will be there like same job,i did think if my job will be there like same job
24fc_069,299.36,302.95,if it will like im impacted my my choice,if it will like impacted my choice
24fc_070,303.21,304.94,i love what i do,i love what i do
24fc_071,305.25,312.54,but maybe that i would have ch ch ch ch ch chosen s like something else,but maybe that i would have chosen like something else
24fc_072,312.54,314.29,that i might have to talk more,that i might have to talk more
24fc_073,314.29,316.6,or may have to interact with people more,or may have to interact with people more
24fc_074,316.93,319.95,i do have to interact with like people at my job,i do have to interact with like people at my job
24fc_075,319.95,322.48,but i don't interact with like other people,but i don't interact with like other people
24fc_076,322.54,324.1,it's just like my team,it's just like my team
24fc_077,323.19,325.5,my like teammate,my like teammate
24fc_078,325.53,326.76,the coworkers,the coworkers
24fc_079,327.08,329.67,but i don't have to like call someone,but i don't have to like call someone
24fc_080,329.67,336.98,or like so m maybe i would have got i would have um gotten another kind of job,or like so maybe i would have gotten another kind of job
24fc_081,337.93,340.66,but i think i will be pretty much the same,but i think i will be pretty much the same
24fc_082,340.7,344.62,i might have i might would have uh talk more,i might would have talk more
24fc_083,344.98,346.85,like when i'm like in group,like when i'm like in group
24fc_084,347.72,349.27,i think it's my cellphone buzzing,i think it's my cellphone buzzing
24fc_085,350.06,353.69,um so i i think i would talk ma maybe more,so i think i would talk maybe more
24fc_086,353.69,355.01,when i'm when i'm in group,when i'm in group
24fc_087,355.04,361.76,i find i find it uh d d d difficult to um like take my place,i find it difficult to like take my place
24fc_088,361.83,362.68,when people talk,when people talk
24fc_089,362.71,364.81,and they're talking pretty fast sometimes,and they're talking pretty fast sometimes
24fc_090,364.88,367.6,and it's just hard to just like say stop,and it's just hard to just like say stop
24fc_091,367.66,370.44,i want i want to like say something,i want to like say something
24fc_092,370.47,371.01,about that,about that
24fc_093,371.03,373.17,and i know that i'm gonna block,and i know that i'm gonna block
24fc_094,373.17,374.98,and that is g it's gonna be long,and that it's gonna be long
24fc_095,374.98,377.97,and so i think it would maybe have that,and so i think it would maybe have that
24fc_096,378.48,382.12,but my friends are pretty good cool with that,but my friends are pretty cool with that
24fc_097,382.12,383.9,so they let me talk too,so they let me talk too
24fc_098,383.95,384.16,so,so
24fc_099,389.22,394.72,uh i am doing a master in bio bio biology,i am doing a master in biology
24fc_100,394.72,397.97,so of course i looked it up,so of course i looked it up
24fc_101,398.63,401.08,uh so i know it's like gene,so i know it's like gene
24fc_102,401.11,405.67,like in uh involved in that it's like eighty percent like genetic,like involved in that it's like eighty percent like genetic
24fc_103,405.67,408.49,tw twenty percent environmental,twenty percent environmental
24fc_104,408.84,412.29,uh i look it up for which gene,i look it up for which gene
24fc_105,412.49,413.4,and why,and why
24fc_106,413.42,416.79,how how d of does that work,how does that work
24fc_107,417.24,420.11,uh i know that we do not all of them yet,i know that we do not all of them yet
24fc_108,420.15,422.38,we have a really few of them,we have a really few of them
24fc_109,422.45,422.84,actually,actually
24fc_110,422.84,425.17,and they all work in the same pathway,and they all work in the same pathway
24fc_111,425.17,432.19,so i can't wait to see like really what c c causes that so,so i can't wait to see like really what causes that so
24fc_112,436.07,436.36,yeah,yeah
24fc_113,449.24,451.04,uh i would say,i would say
24fc_114,451.39,452.26,i think that the most,i think that the most
24fc_115,452.92,465.42,is that the people who who who who stutter um like like the kind of therapy that they are ge ge ge ge getting,is that the people who stutter like the kind of therapy that they are getting
24fc_116,465.42,466.59,so maybe like ask,so maybe like ask
24fc_122,477.69,482.3,um maybe to ask them uh if like,maybe to ask them if like
24fc_123,482.77,484.9,more about like maybe like school,more about like maybe like school
24fc_124,484.9,490.15,like if e if ev everything is is like good at school,like if everything is like good at school
24fc_125,490.35,493.34,what what what would help them,what would help them
24fc_126,493.35,495.05,what would not help them,what would not help them
24fc_127,495.37,496.61,so i think yeah,so i think
24fc_128,496.73,496.97,yeah,yeah
24ma_000,29.02,34.46,so with family they don't really know that much about my stuttering,so with family they don't really know that much about my stuttering
24ma_001,35.14,37.85,i'm more of a co covert uh person who stutters,i'm more of a covert person who stutters
24ma_002,38.43,42.49,so and even like my close friends i don't really tell them,so and even like my close friends i don't really tell them
24ma_003,43.52,50.92,and i am an slp student so i it's kind of okay for me to like stutter in that environment,and i am an slp student so it's kind of okay for me to like stutter in that environment
24ma_004,51.93,57.79,so um i i'm not working right now,so i'm not working right now
24ma_005,58.04,61.26,um so that doesn't apply,so that doesn't apply
24ma_006,61.26,64.13,but um i'm actually in training for like another job,but i'm actually in training for like another job
24ma_007,65.57,74.64,um i would say that um it has affected me in a way where i wanna become an slp e,i would say that it has affected me in a way where i wanna become an slp
24ma_008,75.48,76.07,you know,you know
24ma_009,77.0,78.2,so yeah,so yeah
24ma_010,115.23,128.17,yeah um i'll say when i was about like in middle school or something that's when i started like to hide it 'cause i would like get made fun of,yeah i'll say when i was about like in middle school or something that's when i started like to hide it 'cause i would like get made fun of
24ma_011,128.17,129.61,and people would laugh at me,and people would laugh at me
24ma_012,129.61,136.57,so i would just use um like filler words word substitution,so i would just use like filler words word substitution
24ma_013,136.57,139.4,um like circumlocution,like circumlocution
24ma_014,139.53,144.71,and uh then i had speech therapy when i was like twenty,and then i had speech therapy when i was like twenty
24ma_015,145.13,154.11,and i sh uh my speech therapist told me about like the avoidance behaviors and like secondary behaviors,and my speech therapist told me about like the avoidance behaviors and like secondary behaviors
24ma_016,154.11,158.02,and so i'd like took notice of that and i tried not to do that anymore,and so i'd like took notice of that and i tried not to do that anymore
24ma_017,158.75,163.03,but i think what's hard for me is like eye eye contact is is difficult,but i think what's hard for me is like eye contact is difficult
24ma_018,163.63,172.52,but um in when i'm in school like it's it's fine because i mean everyone should understand right,but when i'm in school like it's fine because i mean everyone should understand right
24ma_019,174.09,185.76,i'm also like the uh c i'm i'm also the cochapter leader of the san jose uh national stuttering association support group,i'm also like the i'm also the cochapter leader of the san jose national stuttering association support group
24ma_020,185.78,189.57,so um yeah i'm definitely more open there,so yeah i'm definitely more open there
24ma_021,190.0,194.29,um it's yeah,it's yeah
24ma_022,204.36,209.33,um well i mean the the exact cause is unknown,well i mean the exact cause is unknown
24ma_023,209.78,215.7,i mean from what i know it's like a neurological and physiological like disorder,i mean from what i know it's like a neurological and physiological like disorder
24ma_024,216.87,220.21,so i mean it could be genetics,so i mean it could be genetics
24ma_025,222.12,225.92,yeah i don't yeah i don't think there's an exact cause so,yeah i don't think there's an exact cause so
24ma_026,241.16,244.12,if if i've ever had th th th therapy is that the question,if i've ever had therapy is that the question
24ma_027,245.5,258.85,so i've had speech therapy for about a year and the thing that was most helpful was the um my speech therapist told me about the nsa,so i've had speech therapy for about a year and the thing that was most helpful was my speech therapist told me about the nsa
24ma_028,258.86,260.08,it's like the acceptance,it's like the acceptance
24ma_029,260.79,262.75,like that was like the most important thing,like that was like the most important thing
24ma_030,263.92,267.59,and she taught me these techniques,and she taught me these techniques
24ma_031,267.85,274.03,you know like um easy onset and prolongations and stuff but i don't really use it much,you know like easy onset and prolongations and stuff but i don't really use it much
24ma_032,274.94,277.83,but i feel like i do have a slower rate of speech,but i feel like i do have a slower rate of speech
24ma_033,278.5,281.48,so maybe like that's a technique but um,so maybe like that's a technique but
24ma_034,298.32,317.13,um i view it as positive because it allowed me to be more open about it and accepting and um i would have all these different like secondary behaviors,i view it as positive because it allowed me to be more open about it and accepting and i would have all these different like secondary behaviors
24ma_035,317.14,331.82,so i feel like that when that was addressed um i feel like the stuttering is not as um it doesn't affect me as much i guess,so i feel like when that was addressed i feel like the stuttering it doesn't affect me as much i guess
24ma_036,332.95,335.28,um yeah,yeah
24ma_037,361.41,368.52,successful communication i guess that would mean getting your message across um,successful communication i guess that would mean getting your message across
24ma_038,369.98,371.11,as best as possible,as best as possible
24ma_039,372.5,378.22,and i mean an example would be,and i mean an example would be
24ma_040,378.85,383.26,i mean in the perfect world like you know fluent like a hundred percent fluent,i mean in the perfect world like you know fluent like a hundred percent fluent
24ma_041,383.26,384.67,but no nobody's,but nobody's
24ma_042,385.7,388.61,like even people who stutter aren't like a hundred percent fluent so,like even people who stutter aren't like a hundred percent fluent so
24ma_043,389.35,392.88,um yeah,yeah
24ma_044,401.35,404.43,um well just being here at the conference,well just being here at the conference
24ma_045,404.43,406.71,i mean everything's like positive you know um,i mean everything's like positive you know
24ma_046,406.81,407.89,even if i stutter or not,even if i stutter or not
24ma_047,407.98,413.26,it's you know it's been a positive experience just talking to other people who stutter so,you know it's been a positive experience just talking to other people who stutter so
24ma_048,427.68,430.06,so i thought about this before,so i thought about this before
24ma_049,430.15,434.06,and and i don't really know what i'd be doing actually,and i don't really know what i'd be doing actually
24ma_050,434.9,438.58,because like my stuttering has led me to this path you know,because like my stuttering has led me to this path you know
24ma_051,439.18,440.8,um speech language pathology,speech language pathology
24ma_052,440.8,444.29,and i feel like like i belong here you know,and i feel like i belong here you know
24ma_053,444.95,453.23,um 'cause before this i was um i went to college,'cause before this i went to college
24ma_054,453.23,456.37,i graduated in like like film and tv and,i graduated in like like film and tv and
24ma_055,457.29,460.76,like um some editing work and then just,like some editing work and then just
24ma_056,461.86,462.69,i wasn't really happy,i wasn't really happy
24ma_057,462.69,466.39,and i well i couldn't it was hard for me to get a job actually so,and it was hard for me to get a job actually so
24ma_058,467.44,472.18,um and i found the nsa and it just like changed my life,and i found the nsa and it just like changed my life
24ma_059,472.19,474.09,so yeah,so yeah
24ma_060,500.31,507.39,okay i'll say stuttering is not like psychological,okay i'll say stuttering is not like psychological
24ma_061,507.66,509.64,it's not like caused by anxiety,it's not like caused by anxiety
